,Folder,Horizontal,Vertical,Distances
0,000001_03_01,0.732422,0.732422,1.0
1,000004_02_02,0.585938,0.585938,1.0
2,000004_03_02,0.703125,0.703125,1.0
3,000009_04_03,0.78125,0.78125,1.0
4,000010_02_02,0.858,0.858,1.0
5,000016_02_01,0.82,0.82,1.0
6,000020_01_01,0.455729,0.455729,1.0
7,000020_02_01,0.625,0.625,1.0
8,000020_03_01,0.703125,0.703125,1.0
9,000020_04_01,0.732422,0.732422,1.0
10,000021_02_01,0.7285159999999999,0.7285159999999999,1.0
11,000021_04_01,0.732422,0.732422,1.0
12,000022_02_01,0.742188,0.742188,1.0
13,000026_04_01,0.871094,0.871094,1.0
14,000026_05_01,0.863281,0.863281,1.0
15,000026_06_01,0.859375,0.859375,1.0
16,000027_01_01,0.427083,0.427083,1.0
17,000027_02_01,0.442708,0.442708,1.0
18,000027_03_01,0.625,0.625,1.0
19,000027_04_01,0.742188,0.742188,1.0
20,000027_05_01,0.625,0.625,1.0
21,000029_02_02,0.824219,0.824219,1.0
22,000030_01_01,0.455729,0.455729,1.0
23,000030_02_01,0.859375,0.859375,1.0
24,000031_01_01,0.7597659999999999,0.7597659999999999,1.0
25,000033_03_01,0.8164060000000001,0.8164060000000001,1.0
26,000033_03_02,0.8164060000000001,0.8164060000000001,1.0
27,000036_02_02,0.782,0.782,1.0
28,000037_01_02,0.553385,0.553385,1.0
29,000037_02_02,0.78125,0.78125,1.0
30,000037_03_02,0.7871090000000001,0.7871090000000001,1.0
31,000037_04_02,0.945312,0.945312,1.0
32,000037_05_02,0.847656,0.847656,1.0
33,000037_06_02,0.859375,0.859375,1.0
34,000037_07_02,0.78125,0.78125,1.0
35,000037_08_02,0.78125,0.78125,1.0
36,000037_09_02,0.782,0.782,1.0
37,000037_10_02,0.782,0.782,1.0
38,000037_11_02,0.78125,0.78125,1.0
39,000040_01_01,0.859375,0.859375,1.0
40,000040_02_01,0.9375,0.9375,1.0
41,000040_03_01,0.976562,0.976562,1.0
42,000040_04_01,0.820312,0.820312,1.0
43,000040_05_01,0.859375,0.859375,1.0
44,000040_05_02,0.859375,0.859375,1.0
45,000040_06_01,0.78125,0.78125,1.0
46,000040_07_01,0.7753909999999999,0.7753909999999999,1.0
47,000045_01_01,0.976562,0.976562,1.0
48,000045_02_01,0.7020000000000001,0.7020000000000001,1.0
49,000048_01_01,0.703125,0.703125,1.0
50,000051_01_01,0.976562,0.976562,1.0
51,000053_02_01,0.8007810000000001,0.8007810000000001,1.0
52,000053_04_02,0.898438,0.898438,1.0
53,000053_06_01,0.71875,0.71875,1.0
54,000057_01_01,0.976562,0.976562,1.0
55,000057_02_01,0.976562,0.976562,1.0
56,000058_02_01,0.732422,0.732422,1.0
57,000058_05_01,0.716797,0.716797,1.0
58,000058_05_02,0.716797,0.716797,1.0
59,000058_06_01,0.6914060000000001,0.6914060000000001,1.0
60,000058_06_02,0.6914060000000001,0.6914060000000001,1.0
61,000058_07_01,0.742188,0.742188,1.0
62,000058_09_01,0.732422,0.732422,1.0
63,000060_05_02,0.828125,0.828125,1.0
64,000060_06_02,0.9375,0.9375,1.0
65,000061_01_01,0.898438,0.898438,1.0
66,000062_16_02,0.742188,0.742188,1.0
67,000063_01_01,0.742188,0.742188,1.0
68,000063_03_01,0.6523439999999999,0.6523439999999999,1.0
69,000063_04_01,0.732422,0.732422,1.0
70,000063_05_01,0.78125,0.78125,1.0
71,000065_02_01,0.742188,0.742188,1.0
72,000065_02_03,0.742188,0.742188,1.0
73,000065_04_02,0.773438,0.773438,1.0
74,000065_06_02,0.8183590000000001,0.8183590000000001,1.0
75,000065_07_01,0.8183590000000001,0.8183590000000001,1.0
76,000067_02_01,0.9375,0.9375,1.0
77,000069_04_01,0.732422,0.732422,1.0
78,000071_02_02,0.6914060000000001,0.6914060000000001,1.0
79,000071_02_03,0.6914060000000001,0.6914060000000001,1.0
80,000072_02_01,0.78125,0.78125,1.0
81,000072_03_01,0.820312,0.820312,1.0
82,000072_04_01,0.7128909999999999,0.7128909999999999,1.0
83,000072_05_01,0.664062,0.664062,1.0
84,000072_07_02,0.6914060000000001,0.6914060000000001,1.0
85,000072_09_01,0.820312,0.820312,1.0
86,000075_03_03,0.78125,0.78125,1.0
87,000078_01_01,0.742188,0.742188,1.0
88,000079_01_01,0.859375,0.859375,1.0
89,000079_02_01,0.732422,0.732422,1.0
90,000080_01_01,0.859375,0.859375,1.0
91,000080_02_01,0.898438,0.898438,1.0
92,000082_01_01,0.703125,0.703125,1.0
93,000082_02_02,0.703125,0.703125,1.0
94,000083_01_02,0.976562,0.976562,1.0
95,000083_05_02,0.976562,0.976562,1.0
96,000083_09_02,0.898438,0.898438,1.0
97,000083_10_01,0.976562,0.976562,1.0
98,000083_11_02,0.9375,0.9375,1.0
99,000083_11_03,0.9375,0.9375,1.0
100,000083_12_02,0.898438,0.898438,1.0
101,000083_13_02,0.877,0.877,1.0
102,000084_01_02,0.976562,0.976562,1.0
103,000084_02_02,0.976562,0.976562,1.0
104,000084_02_03,0.976562,0.976562,1.0
105,000084_03_02,0.976562,0.976562,1.0
106,000084_04_02,0.651042,0.651042,1.0
107,000084_05_02,0.976562,0.976562,1.0
108,000086_01_01,0.976562,0.976562,1.0
109,000087_02_02,0.7617189999999999,0.7617189999999999,1.0
110,000088_02_01,0.742188,0.742188,1.0
111,000088_02_02,0.742188,0.742188,1.0
112,000088_03_01,0.742188,0.742188,1.0
113,000089_05_02,0.794922,0.794922,1.0
114,000089_07_02,0.7809999999999999,0.7809999999999999,1.0
115,000089_11_02,0.820312,0.820312,1.0
116,000089_12_02,0.8164060000000001,0.8164060000000001,1.0
117,000089_14_02,0.679688,0.679688,1.0
118,000090_01_01,0.9375,0.9375,1.0
119,000090_03_02,0.9375,0.9375,1.0
120,000092_01_01,0.742188,0.742188,1.0
121,000092_02_01,0.859375,0.859375,1.0
122,000092_02_02,0.859375,0.859375,1.0
123,000092_02_03,0.859375,0.859375,1.0
124,000094_05_02,0.976562,0.976562,1.0
125,000095_01_01,0.858,0.858,1.0
126,000095_02_02,0.953125,0.953125,1.0
127,000096_03_01,0.82,0.82,1.0
128,000096_03_02,0.82,0.82,1.0
129,000096_04_02,0.9746090000000001,0.9746090000000001,1.0
130,000096_04_03,0.9746090000000001,0.9746090000000001,1.0
131,000097_02_02,0.898438,0.898438,1.0
132,000098_04_02,0.8496090000000001,0.8496090000000001,1.0
133,000098_05_02,0.78125,0.78125,1.0
134,000101_01_01,0.742188,0.742188,1.0
135,000101_02_01,0.665,0.665,1.0
136,000102_01_01,0.859375,0.859375,1.0
137,000102_02_02,0.773438,0.773438,1.0
138,000102_03_01,0.863281,0.863281,1.0
139,000103_01_01,0.8964840000000001,0.8964840000000001,1.0
140,000103_02_01,0.779297,0.779297,1.0
141,000103_03_01,0.820312,0.820312,1.0
142,000103_04_02,0.820312,0.820312,1.0
143,000103_05_01,0.742188,0.742188,1.0
144,000103_06_01,0.703125,0.703125,1.0
145,000103_07_02,0.820312,0.820312,1.0
146,000103_08_02,0.732422,0.732422,1.0
147,000103_09_02,0.78125,0.78125,1.0
148,000103_10_01,0.78125,0.78125,1.0
149,000103_11_01,0.705078,0.705078,1.0
